r,g,b,oc
0.272328019,0.204506606,0.146027337,11.5
0.278026422,0.205021848,0.12832208,9.8
0.298043221,0.225444108,0.158893175,11.6
0.280095696,0.210686915,0.134542972,11.3
0.275897761,0.206933642,0.143327817,8.8
0.318037778,0.23983037,0.152454073,8.8
0.293879747,0.219539339,0.146860351,8.6
0.355810151,0.280333877,0.184316419,9.4
0.285479218,0.217511003,0.158174261,9.4
0.254510343,0.195160528,0.136694968,10.5
0.197479293,0.144961456,0.098451582,9.4
0.133330574,0.099602627,0.077844515,15.3
0.186384742,0.140767977,0.09636273,10.7
0.214705497,0.15814134,0.111625316,9.2
0.109082726,0.084594958,0.068365293,16.3
0.156165212,0.123914286,0.094086852,15.2
0.173765664,0.132794117,0.099701089,18.3
0.157677114,0.113985725,0.081614234,8.7
0.198727195,0.142746543,0.099007639,7.3
0.145496642,0.105998521,0.079145893,9.7
0.061975639,0.048019047,0.041393735,169
0.313292613,0.235728875,0.164123351,8.4
0.306899091,0.23485524,0.172982603,8.2
0.350493679,0.269152035,0.194329277,7.8
0.267131726,0.198519031,0.138111606,7.7
0.299271236,0.227539033,0.166984772,8
0.296460738,0.223967498,0.15755403,7.5
0.319589029,0.24204198,0.172242855,10.4
0.265555243,0.19985578,0.14378802,13.3
0.240960196,0.181758985,0.129955138,13.7
0.268542856,0.206662983,0.156404619,10
0.285921559,0.21457687,0.145713151,6.4
0.26024656,0.195579417,0.140485607,7.4
0.288809796,0.219662026,0.163521101,7.1
0.252140224,0.189182304,0.134580798,7.6
0.081992003,0.062621431,0.05302153,42.3
0.253473493,0.191533028,0.134172107,8
0.282158912,0.212805934,0.155093459,6.7
0.287087974,0.220017704,0.160897053,8.9
0.156313606,0.118711168,0.097107655,19
0.224937233,0.169729206,0.125842502,10.6
0.239964186,0.17757753,0.126386746,9.3
0.236181281,0.174699859,0.115608906,9.8
0.247979321,0.185615777,0.132143593,8.5
0.171474873,0.127302038,0.095779866,14.1
0.238228972,0.176740718,0.125974358,11.5
0.213963287,0.160830467,0.113742741,11.5
0.091342289,0.07032848,0.058525762,78.4
0.219838685,0.165414234,0.107516529,9.6
0.201157933,0.149842185,0.10284242,10.2
0.171244596,0.129591723,0.09711255,12.2
0.150665116,0.115237396,0.089167281,11.7
0.14645906,0.113972523,0.089049284,11.6
0.167484374,0.12578454,0.096632538,15.2
0.09452566,0.072205065,0.061017246,39.4
0.115255847,0.087008223,0.068864918,23
0.226938194,0.174520353,0.12722771,9.7
0.193857697,0.146681285,0.108810093,13.3
0.189614402,0.145364356,0.107334755,16.4
0.187547605,0.144137941,0.106794165,16.6
0.093666798,0.073393568,0.061937542,36.2
0.178349375,0.133377612,0.100025475,13.5
