lucas,raca,ossl
0.1856200397014618,0.23728321492671967,0.16624745726585388
0.5357698202133179,0.6025705933570862,0.5054166316986084
0.27861011028289795,0.16014619171619415,0.32833588123321533
0.5178295969963074,0.7164034843444824,0.8530588150024414
0.16845789551734924,0.07735736668109894,0.04992300644516945
0.3137125074863434,0.20623916387557983,0.09701815247535706
0.31507474184036255,0.26233795285224915,0.1714947372674942
0.27406859397888184,0.14167869091033936,0.443789541721344
0.4108566343784332,0.5959832668304443,0.3847157061100006
0.1620205193758011,0.06730008870363235,0.10416317731142044
0.21241359412670135,0.10761796683073044,0.13815578818321228
0.6255658268928528,0.8250819444656372,0.7576810121536255
0.260396808385849,0.4786779582500458,0.22454969584941864
0.3267976641654968,0.26101455092430115,0.38360846042633057
0.4128054976463318,0.2603074312210083,0.39184191823005676
