rf-hsv,rf-cielab,nn-hsv,nn-cielab
0.663331586,0.640974506,0.696584364,0.685502856
0.750171192,0.709417249,0.768754426,0.763946095
0.641385311,0.581668327,0.67185624,0.644718156
0.737592219,0.663145041,0.761702612,0.73763718
0.67761714,0.658926468,0.715029352,0.709424962
0.634680362,0.543970254,0.638515596,0.626985613
0.773143466,0.690102426,0.77338852,0.767760407
0.732981298,0.696308096,0.756642309,0.743496582
0.675320118,0.650306732,0.726415456,0.706699636
0.797773247,0.716622744,0.794686453,0.774030812
0.452444071,0.403078854,0.448928837,0.441158023
0.416621028,0.403852243,0.43223178,0.431276161
0.399726496,0.398592939,0.416359401,0.415752633
0.443504504,0.422827327,0.452502175,0.447397408
0.440066904,0.408071357,0.434129762,0.423025183
0.409897336,0.366469154,0.409372227,0.405525825
0.422544505,0.403296121,0.414787746,0.428971614
0.43174011,0.396775652,0.426758146,0.424494856
0.415912081,0.401423905,0.419465838,0.42431679
0.412752848,0.408856493,0.429973921,0.43341863
0.626449571,0.51737384,0.709863372,0.655671983
0.718023397,0.566069658,0.746679658,0.704510814
0.70121822,0.55938732,0.751501183,0.725796454
0.694353576,0.547656734,0.752805638,0.719495905
0.701225986,0.56184983,0.736590615,0.713627303
0.668260107,0.54899089,0.704052944,0.681765486
0.687125529,0.564870987,0.727060155,0.715501534
0.649230189,0.539320961,0.716698523,0.680648648
0.66172257,0.537156062,0.704350803,0.687283975
0.679059775,0.557461296,0.713913226,0.688079826
